Juge;Produit;Seance;Odeur de cacao;Odeur de lait;Saveur sucree;Saveur acide;Saveur amere;Arome de cacao;Arome de lait;Arome de caramel;Arome de vanille;Astringence;Croquant;Fondant;Collant;Granuleux
2;Ethiquable_75;2;7;1;2;7;5;8;1;1;1;6;8;4;3;4
2;Repere_72;2;7;6;6;3;3;7;6;1;1;5;8;2;4;8
3;Nestle_70;2;7;3;6;2;4;5;4;2;5;4;5;6;2;2
3;Ethiquable_70;2;6;3;5;6;4;5;2;2;2;2;8;4;2;2
3;Lindt_70;2;4;2;5;5;3;3;5;4;5;2;9;4;2;2
3;Lindt_78;2;6;2;4;2;7;7;3;2;4;5;6;4;2;2
3;Ethiquable_75;2;7;3;6;3;3;5;4;3;6;4;6;5;3;2
3;Repere_85;2;5;3;5;3;6;6;3;2;4;4;8;3;2;2
3;Repere_72;2;3;6;7;3;2;3;6;2;4;3;9;5;2;2
3;Nestle_80;2;6;2;6;4;3;4;4;3;4;3;9;4;2;2
3;Lindt_85;2;7;2;3;3;8;7;3;2;4;4;9;2;3;2
4;Repere_85;2;7;2;2;1;9;8;1;1;1;9;5;4;1;1
4;Lindt_78;2;4;2;1;1;7;7;2;1;1;7;5;5;2;1
4;Nestle_80;2;7;3;4;4;7;7;1;4;2;6;4;3;3;1
4;Ethiquable_70;2;9;1;1;4;10;9;1;1;1;7;6;3;1;1
4;Lindt_85;2;6;4;1;3;9;9;1;1;1;8;7;3;1;1
4;Nestle_70;2;3;2;2;2;6;5;3;3;2;5;7;3;3;1
4;Repere_72;2;5;7;4;1;8;6;5;1;2;8;6;4;1;1
4;Lindt_70;2;8;1;1;5;9;8;2;1;2;5;7;2;3;1
4;Ethiquable_75;2;6;2;1;4;9;7;3;2;1;8;5;1;2;1
5;Nestle_80;2;9;3;4;4;9;8;2;1;2;9;9;3;2;1
5;Lindt_85;2;8;3;1;7;10;7;1;1;1;8;10;3;3;1
5;Repere_85;2;9;1;3;1;10;5;1;1;1;8;9;2;1;1
5;Repere_72;2;6;3;5;1;7;7;3;2;2;6;8;5;1;1
5;Lindt_78;2;9;1;2;1;7;8;1;1;1;6;9;2;1;1
5;Ethiquable_75;2;2;1;2;6;5;3;1;1;1;1;10;2;1;1
5;Ethiquable_70;2;4;2;1;7;3;3;1;1;7;3;10;2;1;1
5;Lindt_70;2;7;3;4;6;4;8;1;2;2;7;9;6;1;1
5;Nestle_70;2;7;3;3;3;7;7;2;1;2;8;8;3;1;1
6;Ethiquable_75;2;7;8;3;3;9;7;6;6;5;3;3;6;5;3
6;Lindt_70;2;6;4;4;8;3;4;5;6;2;2;6;4;3;4
6;Repere_72;2;7;8;8;2;5;9;8;7;2;4;7;5;2;1
6;Nestle_70;2;5;8;7;1;4;7;6;1;1;1;3;9;6;4
6;Lindt_85;2;8;3;3;4;10;4;3;6;1;6;9;6;7;6
6;Ethiquable_70;2;4;5;1;8;2;7;3;8;1;8;10;3;7;7
6;Nestle_80;2;2;1;9;6;2;9;8;9;1;4;7;8;8;6
6;Lindt_78;2;5;7;7;6;8;8;3;5;1;8;5;8;4;7
6;Repere_85;2;8;4;6;7;8;9;6;3;1;5;7;5;4;5
7;Repere_85;2;9;2;3;4;7;7;1;2;1;8;7;4;8;7
7;Nestle_80;2;7;1;4;3;6;6;4;3;2;7;6;4;5;5
7;Lindt_78;2;6;1;6;2;5;6;1;1;2;7;6;7;7;7
7;Lindt_85;2;8;2;5;1;6;7;4;2;7;6;9;2;8;4
7;Ethiquable_70;2;7;1;6;2;6;7;1;1;2;7;7;6;6;3
7;Repere_72;2;6;8;6;1;4;4;8;3;2;5;5;7;9;4
7;Nestle_70;2;4;2;7;2;4;5;2;2;3;5;5;7;7;6
7;Ethiquable_75;2;4;2;6;1;5;5;8;2;1;5;3;8;6;5
7;Lindt_70;2;7;1;6;2;5;6;1;2;1;7;9;2;4;7
8;Lindt_85;2;8;3;2;7;10;8;3;2;1;4;7;4;3;3
8;Repere_72;2;6;5;5;4;6;6;4;5;5;4;8;3;3;6
