abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0;0;0;6.18;0;0.09;0;0;20.59;0;0;0;0;0.9;0;0.54;0;0.63;1.25;0;0;8.5;0;53.18;0.09;7.97;0;0;0.09;0;0;2.145;COMX
0;0;0;2.02;0;0.81;0;0;24.19;0;0;0;0;26.21;0;0;0;0;0.4;0;0;4.44;0;37.5;0;4.03;0;0;0.4;0;0;0.312;COMX
0;0;0;12.09;0.17;0.41;0.08;0;18.71;0.08;0;0.25;0.83;1.82;0;0.41;0;0.25;1.82;0;0;6.79;0;42.88;0.25;11.92;0;0.58;0.17;0;0.5;3.454;COMX
0;0;0;0.73;0;0;0;0;32.52;0;0;0.12;0;2.43;0;2.18;0;0;0;0;0;1.21;0;60.07;0;0.61;0;0;0.12;0;0;-1.24;COMX
0;0;0;7.38;0.07;0.22;0.07;0;21.92;0;0;0.07;0.07;0.07;0;24.1;0.07;0;0;0;0;10.56;0;32.27;0.07;3.04;0;0;0;0;0;2.945;COMX
0;0;0;13.91;0.1;0;0.1;0;38.16;0;0;0;0.68;0.48;0;0.48;0.1;0;0.1;0;0;7.34;0;35.65;0;1.74;0;0.19;0.48;0.29;0.19;2.492;COMX
0;0;0;4.57;0.17;0.17;0;0;25.28;0.17;0;0.26;0;0.35;0;10.7;0;0;0;0;0;10.27;0;46.59;0;1.47;0;0;0;0;0;2.967;COMX
0;0;0;5.49;0.09;0.17;0.09;0;29.7;0;0;0.44;0.17;0.17;0;7.93;0;0;0.87;0;0;12.2;0;39.37;0;3.14;0;0.09;0;0;0.09;3.1;COMX
0;0;0;4.16;0;0.24;0.32;0;11.44;0.08;0;0.16;0;0;0;12.72;0;0;0.16;0;0;29.6;0;36.96;0;4.16;0;0;0;0;0;2.947;COMX
0;0;0;2.77;0.16;0.16;0;0;29.95;0.08;0;0.16;0.24;7.21;0;0.16;0;0;10.06;0;0;3.25;0;43.98;0;1.35;0;0.32;0.08;0;0.08;3.352;COMX
0;0;0;2.22;0.09;0.09;0;0;10.85;0;0;0.09;0.34;0.17;0;10.5;0;0;0.09;0;0;16.23;0;56.11;0;3.25;0;0;0;0;0;2.982;COMX
