;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus
BP43;42.5862068965517;0.172413793103448;0;3.62068965517242;0.172413793103448;0.517241379310345;0;0;2.06896551724138;0;0;0;9.13793103448276;2.24137931034483;0;0;2.06896551724138;3.44827586206896;0.344827586206896;0;0;0.344827586206896;0;10.3448275862069;0;2.75862068965517;0;6.20689655172414;0.344827586206896;8.79310344827586;4.82758620689655
BP44;5.25451559934319;0.492610837438423;0;5.09031198686371;0;0.492610837438423;0;0;1.80623973727422;0;0;0;12.3152709359606;1.14942528735633;0;0;0.164203612479474;7.7175697865353;0.164203612479474;0;0;0;0;16.7487684729064;0;3.28407224958949;0;15.7635467980295;0.164203612479474;20.3612479474548;9.0311986863711
BP45;3.57852882703778;1.19284294234592;0;8.34990059642146;0.397614314115308;0.198807157057654;0;0;2.38568588469184;0;0;0;13.3200795228629;2.5844930417495;0;0.198807157057654;0;6.56063618290258;0.596421471172962;0;0;0.397614314115308;0;18.4890656063618;0;2.78330019880715;0;10.7355864811133;0.99403578528827;26.0437375745527;1.19284294234592
BP46;2.04678362573099;0.438596491228071;0;4.97076023391813;0;0.146198830409357;0;0;1.60818713450292;0;0;0;16.0818713450292;1.60818713450292;0;0;0;2.77777777777777;0.146198830409357;0;0;0;0;27.3391812865497;0;2.92397660818713;0;7.4561403508772;0.146198830409357;24.561403508772;7.7485380116959
BP47;1.91972076788831;0.523560209424084;0;6.80628272251309;0;0.349040139616057;0;0;3.66492146596858;0;0;0;20.4188481675392;2.09424083769634;0;0;0;8.55148342059338;0;0;0;0;0;9.77312390924957;0;2.61780104712042;0;13.7870855148342;0.523560209424084;20.5933682373473;8.37696335078535
BP48;0.536672629695886;0.536672629695886;0;5.90339892665475;0;0.715563506261181;0;0;3.22003577817532;0;0;0;20.3935599284437;0.894454382826476;0;0;0;5.54561717352415;0.894454382826476;0;0;0;0;10.3756708407871;0;3.39892665474061;0;15.742397137746;0.178890876565295;20.5724508050089;11.0912343470483
BP49;0.245098039215686;0.490196078431373;0;3.55392156862745;0.245098039215686;0.122549019607843;0;0;2.69607843137254;0;0;0;49.0196078431373;1.34803921568628;0;0;0;5.88235294117647;0.245098039215686;0;0;0;0;7.1078431372549;0;2.32843137254901;0;11.6421568627451;0;6.00490196078432;9.06862745098039
BP50;0.341296928327646;0.341296928327646;0;4.43686006825939;0.341296928327646;0.341296928327646;0;0;5.46075085324232;0;0;0;32.4232081911262;1.53583617747441;0;0;0;5.80204778156997;0.170648464163823;0;0;0;0;8.87372013651877;0;4.60750853242321;0;12.1160409556314;0.170648464163823;15.5290102389079;7.5085324232082
BP51;0;0.487012987012987;0;8.11688311688313;0;0.162337662337663;0;0;4.70779220779221;0;0;0.162337662337663;30.1948051948052;1.62337662337663;0;0;0;5.51948051948052;0.162337662337663;0;0;0;0;8.44155844155844;0.162337662337663;2.75974025974026;0;11.3636363636364;0.64935064935065;13.6363636363636;11.8506493506494
BP52;0.156494522691705;0.625978090766823;0;5.79029733959311;0;0.625978090766823;0;0;5.00782472613458;0;0;0;31.1424100156494;2.03442879499218;0;0;0;3.91236306729264;0;0;0;0;0;6.57276995305164;0;5.16431924882629;0;11.737089201878;0.625978090766823;17.8403755868545;8.76369327073552
BP53;0;0.491803278688524;0;4.09836065573771;0;0.327868852459016;0;0;4.09836065573771;0;0;0;38.3606557377049;1.14754098360656;0;0;0;3.11475409836065;0.655737704918032;0;0;0;0;6.0655737704918;0;5.08196721311475;0;12.4590163934426;0;12.7868852459017;11.3114754098361
BP54;0;0.364298724954463;0;6.3752276867031;0.182149362477231;0.364298724954463;0;0;3.27868852459016;0;0;0;33.3333333333333;0.728597449908926;0;0;0;3.09653916211293;0.546448087431694;0;0;0;0;8.92531876138434;0;5.64663023679418;0;12.9326047358834;0.728597449908926;14.3897996357013;9.10746812386157
BP55;0;0.610687022900764;0;4.88549618320611;0.152671755725191;0;0;0;5.34351145038169;0;0;0;40.6106870229008;1.52671755725191;0;0;0;2.90076335877862;0.305343511450382;0;0;0;0;7.48091603053436;0;5.80152671755726;0;9.00763358778627;0.152671755725191;12.0610687022901;9.16030534351145
BP56;0;0.4;0;3.73333333333334;0.266666666666667;0.4;0;0;4.4;0;0;0;43.8666666666666;1.33333333333333;0;0;0;3.06666666666667;0.4;0;0;0;0;8.8;0;3.59999999999999;0;9.33333333333333;0.4;10.8;9.2
BP57;0;0.431654676258993;0;2.87769784172662;0.575539568345324;0.287769784172662;0;0;5.75539568345323;0;0;0;39.8561151079137;2.87769784172662;0;0;0;1.43884892086331;0.431654676258993;0;0;0;0;7.19424460431655;0;5.03597122302158;0;12.3741007194245;0.287769784172662;10.7913669064748;9.7841726618705
BP58;0;0.164473684210526;0;2.30263157894737;0.493421052631579;0.493421052631579;0;0;7.73026315789473;0;0;0;47.6973684210526;0.822368421052632;0;0;0;1.15131578947369;0.493421052631579;0;0;0;0;9.53947368421053;0;3.28947368421053;0;13.3223684210527;0.328947368421053;5.5921052631579;6.57894736842105
BP59;0;0.69060773480663;0;3.45303867403314;0.828729281767955;0;0;0;4.00552486187845;0;0;0;50.5524861878453;1.10497237569061;0;0;0;1.24309392265193;0.276243093922652;0;0;0;0;8.56353591160221;0;3.45303867403314;0;11.8784530386741;0.138121546961326;5.24861878453039;8.56353591160221
